event_id,v7_score_ALTERNATIVE_PAYMENT,v7_score_RECOVERY_REMINDER,v7_score_RETRY_LATER,v7_score_HUMAN_ESCALATION,chosen_action
EVT_00006346,0.3979383616868252,0.0611354299158229,0.03147761257387474,0.0519033334646849,ALTERNATIVE_PAYMENT
EVT_00004698,0.7222088647419829,0.5728092489195415,0.4943678099121203,0.017447302097485032,ALTERNATIVE_PAYMENT
EVT_00000380,0.5338490507202134,0.32878589836218003,0.24944152080581897,0.14668823866085032,ALTERNATIVE_PAYMENT
EVT_00006176,0.8206853079712095,0.7961902963871322,0.45051656677276225,0.48381961894367514,ALTERNATIVE_PAYMENT
EVT_00007595,0.7213932848764933,0.6333431797626244,0.6918175963746377,0.29009457835343305,ALTERNATIVE_PAYMENT
EVT_00003138,0.5824368397305016,0.552081358255851,0.34287800565789756,0.18365237340575963,ALTERNATIVE_PAYMENT
EVT_00009275,0.496930581627211,0.5602847859457785,0.4999846399748885,0.18081460054729326,RECOVERY_REMINDER
EVT_00002270,0.7982039756784447,1.2120547323523105,0.6779468079735813,0.4850007867036567,RECOVERY_REMINDER
EVT_00007510,0.7949681964962049,0.5264859317372028,0.18995269253835748,0.4176698105270445,ALTERNATIVE_PAYMENT
EVT_00001915,0.7525392292942917,0.6221394119764992,0.36444243700022355,0.04347046018958894,ALTERNATIVE_PAYMENT
EVT_00003773,0.31157748777821237,0.05425449942606206,0.017949818547183374,0.04799232962278856,ALTERNATIVE_PAYMENT
EVT_00005116,0.8204085492387008,1.3311170931297607,0.687898033505834,0.40877985053217775,RECOVERY_REMINDER
EVT_00000385,0.8468233949068,1.354467263073972,0.7647759708486813,0.65845171183298,RECOVERY_REMINDER
EVT_00007250,0.5469940554879316,0.501367144732766,0.5062687268066175,0.16598985891333545,ALTERNATIVE_PAYMENT
EVT_00005982,0.6743872427267738,0.6421401349594807,0.6649277830401722,0.276688967542703,ALTERNATIVE_PAYMENT
EVT_00001167,0.6171792781997517,0.7111403793470416,0.42029412347424777,0.14208147887666567,RECOVERY_REMINDER
EVT_00005319,0.8526646156829316,1.4166742691814742,0.6888771800097783,0.6240667358393441,RECOVERY_REMINDER
EVT_00007100,0.7749461978763872,0.47454478237947284,0.5416454800017011,0.1722808551601978,ALTERNATIVE_PAYMENT
EVT_00005354,0.6049340544452285,0.3564429490090392,0.20251498391730538,0.09850244148012445,ALTERNATIVE_PAYMENT
EVT_00008028,0.804813914584193,1.37520273099875,0.6785125312674904,0.4585729054053288,RECOVERY_REMINDER
EVT_00003239,0.6143587108399341,0.6693549015199051,0.3493790454390968,0.1550905182476698,RECOVERY_REMINDER
EVT_00003408,0.5626127649889667,0.51756231571411,0.19390452998757396,0.025762026575542257,ALTERNATIVE_PAYMENT
EVT_00008617,0.6558889260475806,0.5898769724913718,0.6558889260475806,0.3036772609589783,ALTERNATIVE_PAYMENT
EVT_00002612,0.5495692160535435,0.4423073306478738,0.24633699443804538,0.163661308996203,ALTERNATIVE_PAYMENT
EVT_00006736,0.3062620947907437,0.3766601471665737,0.039743342014976694,0.10092082947320606,RECOVERY_REMINDER
EVT_00005764,0.8235655253316415,0.48492763295226926,0.3322831364521098,0.14145740710695015,ALTERNATIVE_PAYMENT
EVT_00009452,0.4339214969894427,0.03902287953125476,0.019003053738145207,0.04092383170237176,ALTERNATIVE_PAYMENT
EVT_00007164,0.6915639735327792,0.38746937624936434,0.15484465389265017,0.025270788478648935,ALTERNATIVE_PAYMENT
