event_id,event_type,timestamp,customer_id,merchant_id,amount,currency,payment_method,device_type,payment_status,failure_type,retry_count,previous_attempt_hours,checkout_duration_seconds,payment_page_reached,payment_attempted,subscription_age_days,successful_cycles,failed_cycles,true_recovery_probability,customer_tenure_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate,avg_transaction_amount,previous_recovery_success_rate,days_since_last_success,preferred_payment_method,merchant_category,merchant_size,avg_transaction_amount_merchant,historical_success_rate_merchant,historical_failure_rate,customer_success_rate,customer_avg_transaction_amount,merchant_success_rate,merchant_failure_rate,event_hour,day_of_week,month,log_amount,amount_per_customer_transaction,high_value,strong_customer_history,repeated_failure,failure_nonretryable,technical_failure,is_checkout,is_subscription,retry_pressure,value_ratio,customer_merchant_gap,high_value_x_history,failure_x_retry,engagement_score,chosen_action,chosen_probability,actual_recovered,intervention_cost,net_recovery,oracle_recovered,oracle_action
EVT_00025393,PAYMENT_FAILURE,2026-08-01 00:00:42,CUS_001019,MER_00022,1716.09,INR,CARD,MOBILE,FAILED,TIMEOUT,1,43.2,0,False,False,0,0,0,0.537316,91,48,43,5,0.8958,3893.89,0.6032,47,UPI,DIGITAL_SERVICES,LARGE,2602.03,0.8671,0.13290000000000002,0.8958,3893.89,0.8671,0.13290000000000002,0,5,8,7.448386276530159,35.751875,0,0,0,0,1,0,0,0.02040816326530612,0.44060037639060406,0.02870000000000006,0.0,0,0,ALTERNATIVE_PAYMENT,0.5708331407681023,1716.09,20.0,1696.09,1716.09,RETRY_LATER
EVT_00052848,CHECKOUT_ABANDONMENT,2026-08-01 00:04:24,CUS_001065,MER_00142,5186.59,INR,CARD,MOBILE,AT_RISK,,0,41.38,619,True,False,0,0,0,0.746834,1137,56,51,5,0.9107,13910.45,0.8418,65,CARD,RETAIL,MEDIUM,2317.11,0.8986,0.10140000000000005,0.9107,13910.45,0.8986,0.10140000000000005,0,5,8,8.554024513786045,92.61767857142857,0,1,0,0,0,1,0,0.0,0.37282885680500594,0.0121,0.0,0,1,RECOVERY_REMINDER,0.9001074550448512,5186.59,10.0,5176.59,5186.59,RECOVERY_REMINDER
EVT_00006346,PAYMENT_FAILURE,2026-08-01 00:05:52,CUS_000052,MER_00175,1550.42,INR,NETBANKING,MOBILE,FAILED,NETWORK_ERROR,1,28.81,0,False,False,0,0,0,0.482883,316,24,18,6,0.75,2556.4,0.7699,66,UPI,RETAIL,SMALL,14742.91,0.995,0.0050000000000000044,0.75,2556.4,0.995,0.0050000000000000044,0,5,8,7.346925919555472,64.60083333333334,0,0,0,0,1,0,0,0.04,0.6062485336670056,-0.245,0.0,0,0,RECOVERY_REMINDER,0.5469409522514578,1550.42,10.0,1540.42,1550.42,RECOVERY_REMINDER
EVT_00086928,PAYMENT_FAILURE,2026-08-01 00:06:55,CUS_000294,MER_00051,25524.62,INR,CARD,DESKTOP,FAILED,INSUFFICIENT_BALANCE,3,24.81,0,False,False,0,0,0,0.200485,517,60,55,5,0.9167,22277.54,0.6359,82,CARD,EDUCATION,MEDIUM,3095.23,0.7393,0.26070000000000004,0.9167,22277.54,0.7393,0.26070000000000004,0,5,8,10.147437932649723,425.4103333333333,1,1,1,1,0,0,0,0.04918032786885246,1.1457043414873684,0.1774,0.9167,3,0,HUMAN_ESCALATION,0.2759526897690207,0.0,500.0,-500.0,0.0,ALTERNATIVE_PAYMENT
EVT_00065597,CHECKOUT_ABANDONMENT,2026-08-01 00:07:22,CUS_000669,MER_00175,1687.69,INR,UPI,MOBILE,AT_RISK,,0,29.23,299,True,False,0,0,0,0.73953,1380,7,6,1,0.8571,3737.49,0.6753,45,NETBANKING,RETAIL,SMALL,14742.91,0.995,0.0050000000000000044,0.8571,3737.49,0.995,0.0050000000000000044,0,5,8,7.431708359405628,241.09857142857143,0,0,0,0,0,1,0,0.0,0.45143627507362605,-0.13790000000000002,0.0,0,1,RECOVERY_REMINDER,0.9051219692502053,1687.69,10.0,1677.69,1687.69,RETRY_LATER
EVT_00094723,CHECKOUT_ABANDONMENT,2026-08-01 00:10:14,CUS_001722,MER_00075,3659.13,INR,CARD,MOBILE,AT_RISK,,0,49.02,648,True,False,0,0,0,0.763263,1120,47,45,2,0.9574,2825.71,0.7682,81,CARD,EDUCATION,SMALL,18185.27,0.9412,0.05879999999999996,0.9574,2825.71,0.9412,0.05879999999999996,0,5,8,8.205253944890305,77.85382978723405,0,1,0,0,0,1,0,0.0,1.2944836930565924,0.016199999999999992,0.0,0,1,RECOVERY_REMINDER,0.8977169107203262,3659.13,10.0,3649.13,3659.13,RETRY_LATER
EVT_00091239,PAYMENT_FAILURE,2026-08-01 00:11:27,CUS_000683,MER_00126,4390.3,INR,UPI,TABLET,FAILED,PAYMENT_LIMIT,3,30.15,0,False,False,0,0,0,0.198026,1441,31,27,4,0.871,5807.51,0.8567,9,UPI,DIGITAL_SERVICES,SMALL,2499.99,0.8824,0.11760000000000004,0.871,5807.51,0.8824,0.11760000000000004,0,5,8,8.387380589794747,141.6225806451613,0,0,1,1,0,0,0,0.09375,0.7558392771984553,-0.011399999999999966,0.0,3,0,ALTERNATIVE_PAYMENT,0.35989018733259115,4390.3,20.0,4370.3,4390.3,ALTERNATIVE_PAYMENT
EVT_00092760,PAYMENT_FAILURE,2026-08-01 00:12:08,CUS_000283,MER_00006,4284.59,INR,CARD,MOBILE,FAILED,INSUFFICIENT_BALANCE,1,70.73,0,False,False,0,0,0,0.264056,1016,26,20,6,0.7692,4611.29,0.9085,33,NETBANKING,SAAS,SMALL,11987.91,0.8542,0.14580000000000004,0.7692,4611.29,0.8542,0.14580000000000004,0,5,8,8.363013511168472,164.79192307692307,0,0,0,1,0,0,0,0.037037037037037035,0.9289506947741795,-0.08499999999999996,0.0,1,0,ALTERNATIVE_PAYMENT,0.3057968763899131,4284.59,20.0,4264.59,4284.59,ALTERNATIVE_PAYMENT
EVT_00036866,PAYMENT_FAILURE,2026-08-01 00:14:43,CUS_001875,MER_00051,2255.14,INR,UPI,DESKTOP,FAILED,INSUFFICIENT_BALANCE,3,60.34,0,False,False,0,0,0,0.135755,630,50,38,12,0.76,1510.69,0.9796,43,UPI,EDUCATION,MEDIUM,3095.23,0.7393,0.26070000000000004,0.76,1510.69,0.7393,0.26070000000000004,0,5,8,7.721410667430098,45.102799999999995,0,0,1,1,0,0,0,0.058823529411764705,1.4918005675766857,0.02070000000000005,0.0,3,0,ALTERNATIVE_PAYMENT,0.20547816911090266,2255.14,20.0,2235.14,2255.14,ALTERNATIVE_PAYMENT
EVT_00073018,SUBSCRIPTION_FAILURE,2026-08-01 00:15:01,CUS_000070,MER_00140,13667.38,INR,UPI,MOBILE,AT_RISK,,0,6.47,0,False,False,266,22,0,0.654008,720,34,29,5,0.8529,23908.85,0.5898,72,NETBANKING,EDUCATION,MEDIUM,8286.12,0.9696,0.030399999999999983,0.8529,23908.85,0.9696,0.030399999999999983,0,5,8,9.522840415014352,401.9817647058823,1,0,0,0,0,0,1,0.0,0.5716213192470886,-0.11670000000000003,0.8529,0,0,RECOVERY_REMINDER,0.6880328120635011,13667.38,10.0,13657.38,13667.38,RETRY_LATER
